appearedTimeOfDay,appearedHour,terrainType,closeToWater,continent,weather,temperature,windSpeed,pressure,population_density,urban,suburban,midurban,rural,gymDistanceKm,gymIn100m,gymIn250m,gymIn500m,gymIn1000m,gymIn2500m,gymIn5000m,pokestopDistanceKm,pokestopIn100m,pokestopIn250m,pokestopIn500m,pokestopIn1000m,pokestopIn2500m,pokestopIn5000m
night,5,7,FALSE,America,Clear,30.5,2.23,1002.25,172.27429,FALSE,FALSE,FALSE,TRUE,0.055472,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.085015,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,0,13,FALSE,America,PartlyCloudy,31.9,11.88,1016.67,1955.8636,TRUE,TRUE,TRUE,FALSE,0.290851,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.045815,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,4,13,FALSE,America,BreezyandPartlyCloudy,22.9,18.16,1015.75,1312.533,TRUE,TRUE,TRUE,FALSE,0.172979,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.093311,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
afternoon,12,7,FALSE,America,Clear,22.2,5.26,1002.9,2810.7285,TRUE,TRUE,TRUE,FALSE,0.228284,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.113756,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
evening,19,14,FALSE,America,Clear,26.7,6.77,1021.31,40.392357,FALSE,FALSE,FALSE,TRUE,0.440058,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.381998,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
afternoon,15,13,FALSE,America,Clear,15.1,6.2,1008.51,1573.4408,TRUE,TRUE,TRUE,FALSE,0.220373,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.13238,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,4,13,FALSE,America,Clear,24.9,4.4,1020.08,2180.6335,TRUE,TRUE,TRUE,FALSE,0.263438,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.242463,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,3,0,TRUE,America,Clear,29.8,14.32,1017.15,0,FALSE,FALSE,FALSE,TRUE,0.110405,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.013511,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,8,13,FALSE,America,Clear,23.8,5.99,1014.2,849.44226,TRUE,TRUE,TRUE,FALSE,0.727828,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.865132,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
evening,19,12,FALSE,Europe,Clear,24.9,1.65,1015.7,734.7536,FALSE,TRUE,TRUE,FALSE,0.203685,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.270799,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
morning,11,12,FALSE,Europe,MostlyCloudy,21,5.77,1018.24,475.51624,FALSE,TRUE,TRUE,FALSE,0.670773,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.262713,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
night,4,8,TRUE,America,Drizzle,23.6,7.28,1013.55,947.061,TRUE,TRUE,TRUE,FALSE,3.966162,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.350978,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
night,0,13,TRUE,America,Clear,19.1,12.83,1009.2,4188.391,TRUE,TRUE,TRUE,FALSE,0.046768,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.023879,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,4,13,TRUE,Asia,Clear,32.2,7.32,1010.88,206.51929,FALSE,FALSE,TRUE,FALSE,0.231461,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.317775,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
night,3,7,FALSE,America,Clear,23.1,14.35,1007.07,591.0899,FALSE,TRUE,TRUE,FALSE,1.251406,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.253771,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
afternoon,13,12,FALSE,Europe,PartlyCloudy,23.1,7,1023.13,160.22284,FALSE,FALSE,FALSE,TRUE,0.378796,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.142999,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
evening,19,12,FALSE,America,Clear,32,6.82,1013.06,178.6358,FALSE,FALSE,FALSE,TRUE,0.281107,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.142041,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,20,0,TRUE,America,Drizzle,28.2,2.09,1018.29,0,FALSE,FALSE,FALSE,TRUE,0.458605,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.041598,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
evening,17,0,TRUE,America,PartlyCloudy,28.4,10.65,1020.07,0,FALSE,FALSE,FALSE,TRUE,0.340248,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.024639,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
afternoon,14,13,TRUE,America,Clear,23.3,14.07,1011.88,0,FALSE,FALSE,FALSE,TRUE,0.177551,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.069385,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,7,13,FALSE,America,Clear,12.8,2.99,1016.5,185.23222,FALSE,FALSE,FALSE,TRUE,0.144668,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.07724,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,7,7,FALSE,America,Clear,16.4,1.09,1009.9,426.5022,FALSE,TRUE,TRUE,FALSE,0.232939,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.086978,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,4,10,FALSE,America,Clear,29.8,9.3,1014.39,69.58565,FALSE,FALSE,FALSE,TRUE,1.137106,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.353752,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
morning,10,13,TRUE,America,Clear,19,8.81,1022.61,8969.245,TRUE,TRUE,TRUE,FALSE,0.31106,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.025754,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,1,13,TRUE,America,Clear,28.4,4.77,1013.65,1955.8636,TRUE,TRUE,TRUE,FALSE,0.065209,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.018248,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,1,14,FALSE,America,MostlyCloudy,28.4,7.43,1011.97,2431.2341,TRUE,TRUE,TRUE,FALSE,0.5532,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.150986,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,0,13,FALSE,America,Clear,24.8,5.46,1018.6,1312.533,TRUE,TRUE,TRUE,FALSE,0.016863,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.133461,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
afternoon,12,13,FALSE,America,Clear,22.2,5.44,1002.92,1361.0005,TRUE,TRUE,TRUE,FALSE,1.823626,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.724234,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
night,0,13,TRUE,America,Clear,19.6,12.8,1018.61,5597.982,TRUE,TRUE,TRUE,FALSE,0.728255,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.35389,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
morning,10,12,FALSE,Europe,MostlyCloudy,26.1,6.14,1012.47,256.71356,FALSE,FALSE,TRUE,FALSE,0.127469,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.180754,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,0,8,TRUE,Europe,Overcast,24.4,6.61,1013.57,0,FALSE,FALSE,FALSE,TRUE,0.228491,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.108401,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,3,0,TRUE,America,Clear,27.9,3.84,1019.73,0,FALSE,FALSE,FALSE,TRUE,0.283727,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.215888,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,3,13,TRUE,America,Clear,12.7,1.75,1023.94,0,FALSE,FALSE,FALSE,TRUE,0.22213,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.12556,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,23,7,FALSE,America,Clear,27.8,9.24,1006.11,21.029776,FALSE,FALSE,FALSE,TRUE,0.329482,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.329482,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
afternoon,12,12,TRUE,Europe,Clear,17.5,16.25,1008.3,761.8856,FALSE,TRUE,TRUE,FALSE,0.334405,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.013158,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,6,13,TRUE,America,Clear,26.8,3.13,1017.7,1955.8636,TRUE,TRUE,TRUE,FALSE,0.055996,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.16939,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,0,13,TRUE,America,Clear,19.6,12.8,1018.61,5597.982,TRUE,TRUE,TRUE,FALSE,0.247214,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.241192,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,6,7,FALSE,America,Clear,17.3,5,1009.59,426.5022,FALSE,TRUE,TRUE,FALSE,0.232939,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.086978,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,4,12,FALSE,America,Clear,28.2,8.03,1019.92,16.9179,FALSE,FALSE,FALSE,TRUE,0.321555,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.300762,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
morning,8,13,FALSE,America,Clear,19.2,9.19,1017.83,6019.0444,TRUE,TRUE,TRUE,FALSE,0.279141,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.074882,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,23,13,TRUE,America,Clear,22.4,3.69,1024.06,3249.4587,TRUE,TRUE,TRUE,FALSE,0.952266,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.952266,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
evening,19,0,TRUE,America,Clear,24.7,16.82,1023.22,0,FALSE,FALSE,FALSE,TRUE,0.269103,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.120589,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,9,13,TRUE,Asia,Clear,27.2,3.17,1006.59,458.58234,FALSE,TRUE,TRUE,FALSE,0.102788,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.154945,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
evening,16,13,TRUE,America,Breezy,25.3,21.97,1014.37,8969.245,TRUE,TRUE,TRUE,FALSE,0.266655,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.143258,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,9,12,FALSE,Europe,MostlyCloudy,22.4,4.27,1012.8,172.27429,FALSE,FALSE,FALSE,TRUE,0.656682,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.491661,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
evening,18,7,FALSE,America,Dry,31.7,6.07,1007.06,58.046967,FALSE,FALSE,FALSE,TRUE,0.213509,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.213509,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,11,12,FALSE,Europe,Clear,19,10.5,1017.2,276.02277,FALSE,FALSE,TRUE,FALSE,1.951125,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1.193048,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
night,22,13,TRUE,Europe,Overcast,21.6,7.43,1012.9,2431.2341,TRUE,TRUE,TRUE,FALSE,0.685887,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.15775,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,7,13,FALSE,America,Clear,14.5,4.76,1015.11,1631.5426,TRUE,TRUE,TRUE,FALSE,0.242746,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.020626,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,23,0,TRUE,America,Drizzle,27.8,6.91,1020.19,0,FALSE,FALSE,FALSE,TRUE,0.312303,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.055057,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
afternoon,13,12,TRUE,Europe,Overcast,19.9,12.08,1021.79,0,FALSE,FALSE,FALSE,TRUE,0.440991,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.39394,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
night,4,0,TRUE,America,Clear,29,8.97,1018.29,0,FALSE,FALSE,FALSE,TRUE,0.153884,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.105898,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,20,13,TRUE,Europe,Clear,19.1,8.03,1012.64,1886.2122,TRUE,TRUE,TRUE,FALSE,0.265242,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.068211,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,11,13,FALSE,Europe,MostlyCloudy,23.7,8.28,1017.81,1517.408,TRUE,TRUE,TRUE,FALSE,0.365129,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.133026,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,23,13,FALSE,America,Clear,22.3,8.32,1021.6,1754.2621,TRUE,TRUE,TRUE,FALSE,0.786467,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.749756,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
night,4,13,FALSE,America,PartlyCloudy,21.7,6.6,1021.09,1517.408,TRUE,TRUE,TRUE,FALSE,0.033389,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.134915,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
afternoon,14,7,FALSE,Europe,Clear,12.9,2.51,1005.71,426.5022,FALSE,TRUE,TRUE,FALSE,4.960113,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4.960113,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
night,21,0,TRUE,Europe,Clear,18,7.48,1019.86,0,FALSE,FALSE,FALSE,TRUE,4.912595,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.236745,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
morning,11,10,TRUE,Africa,MostlyCloudy,23.1,3.68,1015.6,849.44226,TRUE,TRUE,TRUE,FALSE,0.722502,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.966024,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
night,21,13,TRUE,Europe,PartlyCloudy,23.9,2.18,1012.57,0,FALSE,FALSE,FALSE,TRUE,0.295172,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.135154,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
evening,19,14,FALSE,America/Indiana,PartlyCloudy,30.1,10.02,1021.3,1886.2122,TRUE,TRUE,TRUE,FALSE,1.206403,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1.206403,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
morning,8,0,TRUE,America,PartlyCloudy,25.5,2.36,1019.77,0,FALSE,FALSE,FALSE,TRUE,0.24909,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.02239,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,3,8,FALSE,America,Clear,20.4,2.39,1020.79,493.07547,FALSE,TRUE,TRUE,FALSE,4.901611,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.403065,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
night,5,12,FALSE,America,Clear,18,4.74,1020.08,307.74356,FALSE,FALSE,TRUE,FALSE,0.201515,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.119239,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
evening,19,7,FALSE,America,Clear,24,10.96,1009.49,426.5022,FALSE,TRUE,TRUE,FALSE,0.161279,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.125289,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,5,0,TRUE,America,Clear,17.2,4.9,1023.76,7215.5215,TRUE,TRUE,TRUE,FALSE,3.484758,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.109893,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
evening,18,13,TRUE,America,Clear,29.6,6.45,1021.6,511.28308,FALSE,TRUE,TRUE,FALSE,0.605545,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.148744,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,4,13,TRUE,America,Clear,19.6,6.05,1021.12,1094.8889,TRUE,TRUE,TRUE,FALSE,0.537911,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.137025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,2,13,TRUE,America,PartlyCloudy,18.6,13,1009.17,4188.391,TRUE,TRUE,TRUE,FALSE,0.201126,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.074519,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,11,0,TRUE,Europe,Clear,31.3,9.72,1017.26,0,FALSE,FALSE,FALSE,TRUE,4.002183,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.99853,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
night,2,13,FALSE,America,Clear,31.3,8.41,1011.79,849.44226,TRUE,TRUE,TRUE,FALSE,0.792916,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.931438,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
night,4,13,FALSE,America,Clear,27.9,8.37,1016.6,849.44226,TRUE,TRUE,TRUE,FALSE,1.743821,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1.743821,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
night,20,13,FALSE,Europe,LightRain,16.2,12.97,1011.08,761.8856,FALSE,TRUE,TRUE,FALSE,0.367549,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.019973,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
afternoon,13,13,FALSE,America,Clear,11.5,4.11,1015.45,1463.3706,TRUE,TRUE,TRUE,FALSE,0.187423,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.26962,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
afternoon,12,13,FALSE,Europe,Clear,20.7,8.92,1018.42,1220.7147,TRUE,TRUE,TRUE,FALSE,0.264598,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.103164,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
afternoon,12,12,TRUE,Asia,MostlyCloudy,27.2,9.8,1004.77,4039.2358,TRUE,TRUE,TRUE,FALSE,0.353211,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.103917,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
evening,16,13,TRUE,America,PartlyCloudy,14.6,3.18,1010.94,319.10748,FALSE,FALSE,TRUE,FALSE,0.128625,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.121005,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
